	SRR2672238	SRR2672239	SRR2672242	SRR2672244	SRR2672255	SRR2672260	SRR2672261	SRR2672262	SRR2672263	SRR2672243	SRR2672257	SRR2672259	SRR2672235	SRR2672237	SRR2672240	SRR2672264	SRR2672236	SRR2672241	SRR2672258	SRR2672256
g__Modestobacter	0	856.100793163702	30.1321899171666	0	0	0	0	0	0	0	0	0	0	0	0	0	4.31501322551553	0	0	0
g__Mogibacterium	0	0	0	0	12.021542604347	0	0	0	0	0	17.4594722001554	0	0	0	0	0	0	0	0	0
g__Mycobacterium	0	12790.6931289116	512.247228591832	0	0	0	0	5.6564765242083	4.58467435058087	0	93.8446630758353	48.2916817578172	0	3.87275670567824	0	11.3150331530471	185.545568697168	37.9968082681054	56.4250688520186	5.81590621269642
g__Neisseria	3640.57587291081	1293.92402985016	0	0	0	0	3.77439675703831	25.4541443589373	0	0	0	175.606115482971	0	25.1729185869086	766.969566181017	0	233.01071417784	0	338.550413112111	104.686311828536
g__Nitrospira	0	484.73286918858	141.621292610683	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5201058041243	0	0	0
g__Nocardioides	0	132.910625422675	0	0	0	0	0	0	0	0	48.0135485504273	0	0	0	0	0	0	0	0	0
g__Novosphingobium	45.1311058625306	0	0	0	6.01077130217349	0	0	0	0	0	26.1892083002331	0	0	0	0	0	0	151.987233072422	0	0
g__Ochrobactrum	0	0	102.449445718366	0	0	40.6050896634207	0	0	0	0	32.7365103752913	0	0	0	0	0	0	0	0	0
g__Odoribacter	25890.2110631384	46655.5386594008	7273.91064600401	52786.0277943904	40492.5626723088	36.913717875837	0	0	351951.695871042	2.97878361371133	0	52780.6130848507	12.278978388998	5.80913505851735	5.83246818388606	0	4.31501322551553	26.5977657876739	24.1821723651509	5.81590621269642
g__Oenothera	0	175.911121882953	0	0	24.0430852086939	0	0	45.2518121936665	0	0	0	0	0	1099.86290441262	0	0	0	0	0	0
g__Oscillospira	23453.1313465618	3041.30784055417	578.538046409599	1772.20493379151	9230.54112970443	317.457973732199	14772.9889070479	26254.5357871128	5297.59121209621	5825.01135661253	176.777156026574	880.225653858394	42733.9145383104	3988.93940684858	28727.8220397308	6460.88393038992	87676.7537292504	89364.6933657571	2396.72197219051	2468.85218728963
g__Paenibacillus	0	0	42.1850658840333	0	0	0	0	22.6259060968332	0	0	0	0	0	0	0	0	0	0	0	0
g__Parabacteroides	421.223654716952	20859.1499192763	7228.71236112827	27.0307711541125	120740.366737193	44.2964614510046	26.4207772992682	16.9694295726249	19762.2387881788	458612.035775191	22112.4215414968	145911.121354802	58942.1660117879	126774.690760377	14904.8724439208	45.2601326121886	43.1501322551554	72.1939357094004	53.7381608114462	13466.7308354986
g__Paracoccus	0	527.733365648859	0	0	0	0	0	0	75.6471267845845	0	0	0	3.06974459724951	0	0	0	155.340476118559	151.987233072422	0	13.0857889785669
g__Paraprevotella	0	0	3.01321899171666	0	6.01077130217349	0	0	0	268.203449508981	0	0	926.322259172674	36066.4292730845	0	0	0	0	3.79968082681054	0	0
g__Parvimonas	0	0	0	0	0	0	0	33.9388591452498	0	0	0	0	0	0	0	0	0	0	0	71.2448511055311
g__Pedobacter	14156.1235388805	1012.46623483744	192.846015469866	0	36.064627813041	66.4446921765067	3.77439675703831	0	162.755939445621	0	61.1081527005438	52.6818346448915	0	0	0	0	245.955753854386	357.169997720191	13.4345402028615	0
g__Peptoniphilus	3685.70697877333	625.461766694943	111.489102693516	5.0682695913961	0	0	0	14.1411913105208	0	7.44695903427835	91.6622290508157	17.5606115482971	0	0	0	0	0	0	0	2.90795310634821
g__ph2	0	0	0	0	0	0	0	0	0	0	78.5676249006992	0	12.278978388998	0	0	0	0	0	0	0
g__Phascolarctobacterium	0	15.6365441673736	102.449445718366	5.0682695913961	0	7.38274357516741	0	0	128.370881816265	0	0	0	742.878192534381	2587.00147939306	0	0	0	3.79968082681054	2.68690804057231	0
g__Phormidium	0	0	0	0	0	0	15.0975870281533	0	0	0	0	0	0	0	0	0	0	0	10.7476321622892	0
g__Phycicoccus	15.0437019541769	132.910625422675	0	0	6.01077130217349	0	0	0	0	0	45.8311145254079	4.39015288707428	0	0	0	0	34.5201058041243	0	0	0
g__Phyllobacterium	1474.28279150934	0	0	0	0	0	0	0	0	0	0	0	3.06974459724951	0	0	0	151.025462893044	0	16.1214482434339	0
g__Polaromonas	60.1748078167075	832.645976912643	0	0	0	0	0	0	0	0	0	2.19507644353715	0	0	0	0	0	0	21.4952643245785	0
g__Pontibacter	0	0	0	0	4.00718086811566	0	0	0	0	0	0	0	21.4882121807466	0	0	0	0	0	0	0
g__Porphyromonas	0	0	9.03965697514998	18.5836551684524	20.0359043405783	0	30.1951740563064	0	926.104218817337	0	1460.048362738	46.09660531428	187.25442043222	0	0	0	0	15.1987233072422	0	761.883713863231
g__Prevotella	707.053991846314	9061.37734499298	473.075381699516	74.3346206738096	46.0825799833301	3.6913717875837	71.7135383837279	0	64320.6888014744	1.48939180685567	477.953051479254	46296.357270642	44007.8585461689	0	463.681220618941	33.9450994591414	60.4101851572175	18.9984041340527	10.7476321622892	114.864147700754
g__Propionibacterium	8875.78415296438	8017.6380218208	804.529470788348	8.44711598566017	144.258511252164	77.5188075392578	30.1951740563064	25.4541443589373	45.8467435058087	19.3620934891237	292.446159352603	206.337185692492	122.78978388998	19.3637835283911	8.74870227582908	22.6300663060943	2278.32698307221	1641.46211718216	88.6679653388863	17.4477186380893
g__Proteus	0	0	0	0	0	0	222.689408665261	506.254648916644	0	0	0	0	0	0	0	0	0	0	0	4.36192965952231
g__Pseudomonas	84034.1191160323	14534.1678035737	6577.85705891747	121.638470193506	312.560107713022	1897.36509881802	192.494234608954	328.075638404082	1794.90000825242	169.790665981546	1824.51484491624	1345.58185988827	927.062868369352	334.993455041168	29.1623409194302	147.095430989613	3624.61110943306	4609.0128429212	1450.93034190905	203.556717444375
g__Psychrobacter	0	82.0918568787113	102.449445718366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Psychromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5201058041243	178.584998860096	0	0
g__Rahnella	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6182701170347	0	0	90.6152777358264	0	0	0
g__Rhodococcus	1504.37019541769	648.916582946004	479.101819682949	0	6.01077130217349	0	0	0	50.4314178563897	0	4.36486805003884	4.39015288707428	3.06974459724951	0	0	0	0	11.3990424804316	0	0
g__Robinsoniella	0	0	0	0	2.00359043405783	0	0	0	0	0	0	0	0	0	0	0	1009.71309477064	615.548293943308	0	0
g__Roseburia	2512.29822634754	0	0	0	8.01436173623132	92.2842946895926	1758.86888877985	33.9388591452498	55.0160922069705	7.44695903427835	2.18243402501942	908.761647624378	113.580550098232	0	52.4922136549745	1007.0379506212	750.812301239704	683.942548825897	29.5559884462955	0
g__Rothia	15.0437019541769	4472.05163186885	0	0	32.0574469449253	0	15.0975870281533	0	0	1.48939180685567	69.8378888006215	263.409173224457	12.278978388998	0	0	0	133.765409990982	72.1939357094004	85.981057298314	0
g__Rubellimicrobium	0	473.005461063049	0	0	14.0251330384049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ruminococcus	50561.8822679885	3330.58390765057	1624.12503653528	15235.2183917367	2298.11822786433	32173.9965005796	3178.04206942626	3340.14938754501	2902.09886391769	1377.68742134149	7573.0460668174	1982.15402851405	1197.20039292731	3713.97368074542	22352.9343147433	2070.65106700763	197903.766575044	201215.89786458	5072.88238060052	15727.6643756843
g__Salmonella	0	62.5461766694943	0	1.68942319713203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sediminibacterium	120.349615633415	35.1822243765904	0	0	0	3.6913717875837	0	0	0	0	0	0	0	0	8.74870227582908	0	0	91.192339843453	0	0
g__Serratia	0	58.637040627651	0	0	0	3.6913717875837	0	0	0	0	4.36486805003884	13.1704586612229	0	0	0	11.3150331530471	12.9450396765466	15.1987233072422	0	4.36192965952231
g__Shigella	15.0437019541769	23.4548162510603	6.02643798343332	0	0	11.0741153627511	0	0	0	0	0	0	0	0	0	0	8.63002645103109	0	0	0
g__SMB53	0	0	0	0	0	0	0	0	2.29233717529044	0	0	2.19507644353715	0	0	0	0	0	0	0	0
g__Solibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245.955753854386	189.984041340527	0	0
g__Sphingobium	0	0	0	0	0	44.2964614510046	0	2.82823826210415	0	0	0	0	0	0	0	0	0	0	0	0
